account,owner,MNGO,BTC,ETH,SOL,USDT,SRM,RAY,COPE,FTT,ADA,MSOL,BNB,AVAX,LUNA,GMT,USDC
11TW63YhYFAbDGhKrf5DhVFYkRnybLAjWQVvejuSDFq,BVEAy7LA81ANFK7zPhVf3iTDNNupNXYV6uDamN58fW9D,2857,0,0,46343,0,0,0,0,0,0,0,0,0,0,0,0
15ovaS6hJ2P3pCTuBrsx5yjxggYQrpP4fe6JLpBmWuo,CehtWKeCEUtpErDMyMQDS5QCenGXVmCQFfmrHxnTp1io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3030287
1Gatpr3ithTQRVkoMwB5oU6LqKbD6ccNdGBgWKGV4vd,9AbduYeCPDzVtCC3c3scfsZpNj7YvNi3esNwUm1PrbBg,87500,0,0,352,0,1,0,0,0,0,0,0,0,0,0,26
1HGtdb8ZrDhuMdGyPteCg8JP7hHstHiqapS4dWrT2WR,HzDegxTdQ6vX99k5FnoQxqCtuYHuFuWUiX2Qf87W9YP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
1KHg6oUYVHouk4g68VVGouNpLrJFUNgx5FbxTFzbw9v,BoGDJZASFnAgc4poJ55NG6pmbZT5sY6ehXt4dSWmmZF2,3585694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254
1UuV1ajqBreczxbg42JGEPFJHW8d1rGWm2PCYtoyNXr,7bPX3NESFg7nsvDyvpD2sTwmjPuwj5JFeMrFr5Ui2i2y,770630963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2777920
1Y8LbKU2VBXbHbqvqjQunKk1YPoVPV4YhHjjip17UvN,2qkMCZD23LoxQ2ArsKkxPXxdHnFGgMgnN2swDRB3bGzZ,81792089,0,0,10639477902,0,0,0,0,0,0,0,0,0,0,0,0
1aKbhS74fcp79pso9TGadxEapS4m2fzcn9PbotR9rBS,EcCn1yphmo1znciXTmJpeW6hh2XHhQLKKpmCZJ6c5smE,6144143311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1hUGfrof7KZQ3H7fWMf1SUL4ViYKHzeZiFJ69RQFXQ8,s12zieSSGYNuWUPZubMgaj5V9R2Nq6GDBbUSxNXDpA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
1jxiXwDvBFmpVSeyKgW4Nr5Zod3qU6guQHS9SUvkx74,BSUxhTotohXLbv51hUsgGcKkUBHtTwd2vFdYRwUcKFAw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1kb5cYFXruwpGeGJMsGhxQgDMtsjRxuKMwYZCwc1kfr,9Wxii1pXHrSFvho5uFdYXTnxRwfL8u1tF5pRZaas7ShF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1n4BRCfdLvR3Eok3Dmdqu2YR6BkWHvfh6E3v7Sjf1Df,FU7X4DWnGTbxwXULBq3v9SACzYhQyFGqsXjUDzyFqiem,16936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4905463
1tDDktmW22V8fbwCRo5RBfctmQC4txwgdmZuRxDVxzU,GRgKqQaKZctxLvHC58XNVLuys4Bx3JdouFdZp1a4kXXV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
125hP9BWXJqzMC4Hqj9JZgfQzZoa9JEEiHHSQd6Q8vzq,AjaEXyzYzYoL2NL11kS3bUrpbtP6FEKngDaMeLvxk1VK,0,0,0,32,0,6,0,0,0,0,0,0,0,0,0,1
1262br6FBcnJDmcjokdphFasCUo7M9wVudKQVUYc7sZ2,GCQ9iNz1V4Fchmh7pexESPSfGhTcxmpiLmvDBTvTAJpC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8848
12AGwVeP4dqD1rfuLAvp9cCy113CJWSA6VxcncHHDhGb,6pWUXJhWCgeY9J1KwdXtc8LB7FTCRcTRdY77tKQqPssJ,0,0,0,35443040,0,0,0,0,0,0,0,0,0,0,0,0
12HofMeF1P2SHByV9nLC3twednsbD6yC6tzVbxTWAqvE,7Rpx7LBnn31cGz4DzpfpqNBXunVqyxm2z2KZm6co31As,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
12Hq4Jy1U5HGMTq4UR97WKEugpuBrZU4k9aTpGDhy2WD,HuzNv5A9ozekMW2amHzFw9f75hiCUppuLGYwJNAQWoox,0,0,0,4569275,0,0,0,0,0,0,0,0,0,0,0,1
12Jfhbz5gjCQEH6k9whLcuxzstiAayRekZq9DHXisUbu,5cgWd4gfrWaXaXKhjz6vDfi4VMxcNysTgXaJMvtuCCGQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165
12KDMcRkE6RopQARHro1NuqtvwhSEDqmoP1J2wxhj64q,6SmGccxRGWRkHLt7dRrvJpaLLmiyxpbLZSHo11X41dmu,330455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12KTAnWozBi36cJW35KSfHsiu1UJyMT3gphbxW7dWJRJ,Q4GExwQGhjVijF2d5YbK8jaQNRY9FBER53str6hQ4ih,833138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11761
12NVV7zFbk2y1TLNis1HgzNCcTGXNZUk3XqwfivhGQyL,8wn7wCdfnLAgzbSfEwYsKs5k9CXiqnWc9Qf8x3b31HVV,594696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720077178
12PBtBmhd8fiQ7w4z7ArYP1nPVf2JyAP3aEimw5oMZ83,7uh3zFEssAiVg5iSK9xyANauc7Tr3THJu4mSSTd95V9Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719518
12PqUkNDYbR8ZFYC94ffeBqVmEG5dSZm6WFCW2caQoBT,BQcsJrXjET4u4SJyS6YepEhCqP7y6z1YRpEDHpukDjEj,0,0,0,27269467,0,0,0,0,0,0,0,0,0,0,0,0
12Pyk4es95pmCnfaJbkvJcYESpqiQ8YgkgZCZtZYyhG4,GNFGZdCs9TSsBU37MdzppSw1NrAJoZEbznhWDPVcwoUa,2583932,0,0,258755,1,246119,0,0,0,0,0,0,0,0,0,32
12QG4n1byBENN16katmaHfoA2LeHG5M8Pa6kZYVbmMCN,EGPpxYLgJsYfx8JqRydgTNKRAHKG8a1uvq97JGpnB67q,1688182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
12SpjnSKrf6y5bNJarqcXV3w9nxwYbP4GjhDzWBABH5C,Ey1FsfabwqWJj5Ab8CqRzhpb4RCVZDqQES5UEUivNqP8,0,0,0,94162,0,0,0,0,0,0,0,0,0,0,0,0
12TMhX8UoVo6RY1qhfD99UanM9QYx5ryg5rfniNUkQmX,FGZqjYNJMPhqD52GznmpxLdoEQiH7XDJPF5xZ2vPT118,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
12TsLWHh59FCmWfRU8oHvn8ALuzWJbALngjw7W5xWbMs,EbBerntdMhAgnqUQbPkPC2NNZ3XLTYAwavnDeBSp83dB,10518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12U3SDpbTPnxVz5qBVZ93gVRHZx6tg6Q37f7kdPPdbEF,8GvRy6UNFXZhiX3nqapECtD5FHEWUaHqQzG7cZgL3W6Z,1525304387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12WvxQPooNdx6jzMLvW2zUvSyjtNkEhT9XoFYfgcEE2A,3xQGMfGQcudCQUjqefKUYkHfe2vnT3aswpacZvudnRDG,0,0,0,0,15,0,50,0,0,0,0,0,0,0,103010,2
12asC3YdG2iFASsrY5iqRnScjbNJFEzRjYQNLeaup1Px,4jNh6LwA9LgevAhpqEVUKrnz5efHzm7K8yf6UUbg5aAM,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12fn3HStg62EDJNMpAP5QQBj1WqraVmfGG9WfMfmMP9W,B98e2BdhvvkxtBTwsu97HCmot93kjg9kEKSVYL6YnjjK,0,0,0,202264111,0,0,0,0,0,0,0,0,0,0,0,0
12gBnfzCAeNomDjxF24PKZqEXqEVm1CvA2AatgeWn1Ax,9g33UMJDFvsYG7YcoST1qXXmcgMmuueMXdjmFvn9UDW3,0,0,1,0,0,0,7615648,0,0,0,0,0,0,0,0,25
12hGvGABHHNojCCZffH73BvQLWGQuWANozBQgcbJzAWa,4VgD6qEsihtW2pjjYJNibRv196rRvz3QXguByjz4A6wz,916373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548897238
12qfCRVD661ehCe9XAr1tcv5S3JmqpeXWjCyuCtZktTo,CuncQ2cKznjAwQ9Dqa2ZNfhLn66ebHsgABJ8U6JuGxP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12wz3adQxfRxBq6megk6BcAWkvapHH5YGaoY23KGWAk9,EJQKgAhWMskeavnnr4BZJj15va32VZccSqZRNxNNY8Vv,0,11,490,1154550032,0,0,0,0,0,0,0,0,0,0,0,1797978
12x1QuwHS1q9ePBBvBnZNw2uGEsjSdTdSMHmxxmi6WkA,4mHcmDRivqLea29qLk3M9KkymJdPQKmisdqRQmUP4VPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054
12xHq4KswN8JVwNSRpVoSYjW5VrCh3XhxDunrS8JMLr9,dZbv2Azon77X8kh7XK2NbuJdSibPH9ieJpoLLKFvuJX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12ytZcwngVp2vNGa6yxuzYFNBq2KUC1k8f1fXhLRtbGM,ua87kQc8Rsdi24rb9NwXG2F2y8nzJPJg1tUTTbALpPC,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
12zxwnwBLsHHH8yUpJKFXPkdQ1aiYmh1HJdaPFjnU31m,CHbD8uQMaCrTw87XQU1t8y8bgKCRZLuWovB1zxHoYEze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
135f7rm14vh555daeeZDymjz3yBBEbvP4b2Yukk4Gowt,D4PSdzASBPakwSKwgcfvKJKGD76s3cYPcpKfHM9s7nfe,0,0,0,35454073,0,0,0,0,0,0,0,0,0,0,0,0
137ieDGaDE4DJ21CsGWCfRsRijBuWzxjtniHUioakeca,vx4tt66rPxFu28aW5LWq816ihquLSnPqToRuqzMv3Ei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107441771694
139xBPZCtr9WRAnidY5VUhRbXBWEwAAU5xWseuAeAN5x,8JhTKyUsRmPZgze24MQ9fkR4NpLNcriGKbtKZBZv22nZ,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,1
13EvSmBu9ETsbt9jK9W86eKhJNFPiDm4tJfWFgkgF24T,GZzH38VqkCrXyzziLo1ifGvJndWuh3JVebEnvoFxDAAM,2995470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13PrDzLvJdT1KvcRMPxVMG1hEwPHDozWH8EaJ2nc71Ks,4RfvTZqJUVDvHTtsMQjCPVgAev11L2YUvvr3BcXqVmMh,0,0,0,100403239,0,0,0,0,0,0,0,0,0,0,0,0
13QHBNSphJV5q7uhppMfXTSCYq9kTZjFUvqAhePRXhRH,GvkC3J2xineL3qZczW1MPTa17oQmhcd4RZ8xT3CkeJ36,193635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13QtVDP4HSVT1c9bGJUHfRNX5qxTSpEn7HMHBDvevEcb,GkTaWAWcBQueFhfe5M7YkTeHGrbgcw4CnxkWScG9vRm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13SB6puGDnWwnJKhFaVhpJvb8ALJSm4tMH78DXY1CJPq,Ctgpc3KoMaAsdfGauwxNezbA32nKbWfApoqTK9xJscL5,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13WTrachfF2aqijqidRMcfGS11UuZVBppB96W8pEzcM7,iEXYXt9JNg6tud7wsHcTe349MNWHBgAoRptNpasAGwb,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13bo1mz4HxoeooZQ7NdHMoTUQcz3ciezFuwcrpoqwXHh,Bjnp59cfgX2pfbYbMVXtauhDr3zw3xi1Kuo64HVBv8Hu,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
13cjL6QRLkTxtyZsGANGWRj6NNY91iNY3tCPSL5JQwAo,43Un8iS1asK4q3p1LpNktYi9Z61GDDCvu3BdvjUHpiGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840299
13csbzySKq7cAT313p1naiBqz1AEJjKKenwNQ33VzNhA,3TRq9HCqTQpUztgEW4fcjRKe6bjHyPZgtUy3wWMGpGq4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36188
13g9XqPCoS5XdRrrSLjZYbSrSLXRTxQzmvNbptRm3VZi,5bkmmuJDZBVNdPeEUFwiDzznBhoMjE4M3CVhEo4VBpA3,0,0,0,33290,0,0,0,0,0,0,0,0,0,0,0,12
13nVN3dauowDtAGPepFDCfA4G39rw8CtmCCSPAYd42LU,7SEAxKQtt8ZTbp6cT1VFsWYTWxwhRshCCem2wZS5ssfX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13z1Jwo5hcuW1bbJFcikp1G53pEWJYYZeJhczuBGPSP1,AAF6Q6RzwodXv7epFDCFg2wjsJNXgYgC7f1YgtaindqB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9352443
148zJkTfhYDir9EUfkwpUemQr7vfyDgvRi5Ra9fRj8Cv,UsFy4kZEKciCSHZTy71BPnYq1uRtfNZDEEJMs6EyRTC,23688922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149YGaCk19RHCVRHyLXLiRQQg7VH4x2Lp5b1sjjjH3P3,DMRXYrUdejWviET1LmwgKZjCGts8AxWjTZHfXsaAT1E6,5424,0,0,17502886,0,0,0,0,0,0,0,0,0,0,0,1
14CvMXhMK1ayWX2UcS9SHQsKSNXG4K4XnaJAF8pJwrLE,7NoPmJr47qbvj82UG3F3x37ZMvjZJAgaWC8Ma3wHgDDZ,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
14Fyz7dpFrJnibbq2296vihzdFBgrsikxE4kERKKk3HG,9K8QMqQkuCxUFHFh2JogHNEtXSestisnXNdzDwPeDECU,283330,97,953,192,0,0,0,0,0,0,0,0,0,0,0,22
14GLVJpFicqrv4wBi9zNQ2mdf5wWvSJ8J3cTaTmELmm2,7ubkf5xGdejGMquJSxFYott31FZ5V9Ge34WbFUEw57sL,0,0,0,1012980756,0,0,0,0,0,0,0,0,0,0,0,0
14QeJoez13AJWExKChwqRTrQkfRYP9Teh8dPc8buLinh,62zrxz7RUjLBmMTfu93VEsuHTZGf37oCyrqpgpGuwYAy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8081395
14RQzuFZW69D9gAD7SY9btBfN9Cx8xUKQsqNXeXUwr6v,39iwRBvcVvGHXfMakPMusxWG6K4y7SzCt3jkXt6tm17K,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0
14SCvbtkmD3kV4gPBwZM3zSnj59jQcEevPkX5AfBWNiG,DHB56yNeL1hXoG4uunTbkqGAEHXKWA6Ey6kTPA7gUvVP,860137,0,565266,320,0,0,0,0,0,0,0,0,0,0,0,830343193
14VZP1xnn2JdPFRrKrsBuTdn3Eg6pF3shjzhAh4N5WGU,Gwh1FKhietHvfzUvvTszMA6sRiWQ15BUqWBY4aDkubak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14XoTUXQny2QoMjwcJVq8wSYxeiuYsmFkBCRZwzq1yvX,DYYSPpfshuqLZhw9iWoWvbZRiupErjLXRwFRjX75Qw1B,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4912794
14ZspTSTgG2GGiGScEgbc5AL8wUaZ6ZAa7PUtg3hr9Qf,FxL6EvvFCVvxoRzSzBwTgxhgo9w3BvbtsGKuvufMaNVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14aFu8XWMiBT78ma5xrebMQyeuUEy8jwvqUX2v2wSAJR,sWkeNp8dJVErLnif4pioevruFSY52Cf99mLyNnkCS1o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15240
4vzCUMv28toA9KKW3gwkP2zbNfbET9Q6hfqsiogt8FY,3aVvKx6UCDepaRcffZbRK1b5ukWUgDS6mgcAVnnS8ff4,0,97,0,809197466,0,0,0,0,0,0,0,0,0,0,0,528674
4yCQCGbaaasrDvdyuskK3gQWwRJqhfC87BCSC4zBsxm,F4MSb8A4TiwgoxgciAzG8HpSfkxzzVsqGaH4uZec2cLe,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
4zoNpg3mAnSAh4ETgYejyujVNKPv74zKpJw9Mx1QyqK,C4Xg85ZjXjEAfX74YsxAvYigpvb1244Pj3jMKRkkEzRc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202461
52H4wqXJ1ueGK4T7kYrECKvf2UdKN4aht7j4i9qoKcT,BjgFB9EF52xBtGtJjqtvqCaMUR3NzkGFCA97aXV3Ti4g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611769
